timestamp,open,high,low,close,volume,spread
2025-05-07T01:51:03.633370+00:00,1.04997,1.05019,1.04961,1.0501,197,0.0002
2025-05-07T01:52:03.633370+00:00,1.05042,1.05055,1.04995,1.05029,208,0.0002
2025-05-07T01:53:03.633370+00:00,1.05038,1.05041,1.05017,1.05043,624,0.0002
2025-05-07T01:54:03.633370+00:00,1.0505,1.05071,1.05037,1.05042,357,0.0002
2025-05-07T01:55:03.633370+00:00,1.05015,1.05043,1.05005,1.05017,103,0.0002
2025-05-07T01:56:03.633370+00:00,1.05058,1.05073,1.05028,1.05058,286,0.0002
2025-05-07T01:57:03.633370+00:00,1.05035,1.05061,1.05009,1.05027,913,0.0002
2025-05-07T01:58:03.633370+00:00,1.05023,1.05044,1.04974,1.05013,993,0.0002
2025-05-07T01:59:03.633370+00:00,1.05,1.05008,1.04991,1.04998,387,0.0002
2025-05-07T02:00:03.633370+00:00,1.05043,1.05087,1.05027,1.05047,145,0.0002
2025-05-07T02:01:03.633370+00:00,1.05042,1.05049,1.0501,1.05045,496,0.0002
2025-05-07T02:02:03.633370+00:00,1.0504,1.05045,1.0504,1.05043,937,0.0002
2025-05-07T02:03:03.633370+00:00,1.05041,1.05059,1.04993,1.05035,693,0.0002
2025-05-07T02:04:03.633370+00:00,1.0501,1.05021,1.04972,1.05016,884,0.0002
2025-05-07T02:05:03.633370+00:00,1.05029,1.0505,1.05011,1.05031,729,0.0002
2025-05-07T02:06:03.633370+00:00,1.05016,1.05062,1.04987,1.05015,293,0.0002
2025-05-07T02:07:03.633370+00:00,1.0501,1.05028,1.05003,1.05016,973,0.0002
2025-05-07T02:08:03.633370+00:00,1.05036,1.05036,1.05026,1.05031,128,0.0002
2025-05-07T02:09:03.633370+00:00,1.05054,1.05068,1.05036,1.05071,927,0.0002
2025-05-07T02:10:03.633370+00:00,1.0507,1.05079,1.05038,1.05077,718,0.0002
2025-05-07T02:11:03.633370+00:00,1.05043,1.0509,1.04999,1.05049,886,0.0002
2025-05-07T02:12:03.633370+00:00,1.05057,1.05089,1.05016,1.05064,907,0.0002
2025-05-07T02:13:03.633370+00:00,1.05083,1.05132,1.05057,1.05095,284,0.0002
2025-05-07T02:14:03.633370+00:00,1.05078,1.05127,1.05042,1.05087,952,0.0002
2025-05-07T02:15:03.633370+00:00,1.05113,1.05145,1.05089,1.05114,721,0.0002
2025-05-07T02:16:03.633370+00:00,1.05154,1.05172,1.05153,1.05155,404,0.0002
2025-05-07T02:17:03.633370+00:00,1.05161,1.05166,1.05119,1.05146,397,0.0002
2025-05-07T02:18:03.633370+00:00,1.05186,1.05201,1.05162,1.05184,483,0.0002
2025-05-07T02:19:03.633370+00:00,1.05188,1.05191,1.05171,1.05218,737,0.0002
2025-05-07T02:20:03.633370+00:00,1.05225,1.05229,1.05199,1.05219,542,0.0002
2025-05-07T02:21:03.633370+00:00,1.05222,1.05237,1.05192,1.05236,233,0.0002
2025-05-07T02:22:03.633370+00:00,1.05236,1.05286,1.05203,1.05219,773,0.0002
2025-05-07T02:23:03.633370+00:00,1.05215,1.0523,1.05198,1.05218,894,0.0002
2025-05-07T02:24:03.633370+00:00,1.05216,1.05218,1.05207,1.05212,486,0.0002
2025-05-07T02:25:03.633370+00:00,1.05189,1.05231,1.05172,1.05181,624,0.0002
2025-05-07T02:26:03.633370+00:00,1.05118,1.0514,1.05077,1.05114,532,0.0002
2025-05-07T02:27:03.633370+00:00,1.05105,1.05136,1.05096,1.05114,616,0.0002
2025-05-07T02:28:03.633370+00:00,1.05087,1.05102,1.05071,1.05087,938,0.0002
2025-05-07T02:29:03.633370+00:00,1.05046,1.05049,1.05043,1.05059,257,0.0002
2025-05-07T02:30:03.633370+00:00,1.05033,1.05065,1.05003,1.05036,907,0.0002
2025-05-07T02:31:03.633370+00:00,1.05043,1.05078,1.05027,1.05035,316,0.0002
2025-05-07T02:32:03.633370+00:00,1.05052,1.0508,1.05023,1.05041,473,0.0002
2025-05-07T02:33:03.633370+00:00,1.05056,1.05069,1.05045,1.05052,638,0.0002
2025-05-07T02:34:03.633370+00:00,1.0506,1.05095,1.05052,1.05043,681,0.0002
2025-05-07T02:35:03.633370+00:00,1.05056,1.05098,1.05026,1.05059,247,0.0002
2025-05-07T02:36:03.633370+00:00,1.05024,1.05028,1.04988,1.05035,831,0.0002
2025-05-07T02:37:03.633370+00:00,1.05043,1.05076,1.05037,1.05051,373,0.0002
2025-05-07T02:38:03.633370+00:00,1.05029,1.05079,1.04983,1.05016,677,0.0002
2025-05-07T02:39:03.633370+00:00,1.05018,1.05065,1.05002,1.05007,793,0.0002
2025-05-07T02:40:03.633370+00:00,1.04984,1.0503,1.04944,1.04986,803,0.0002
2025-05-07T02:41:03.633370+00:00,1.05008,1.05009,1.04971,1.05006,948,0.0002
2025-05-07T02:42:03.633370+00:00,1.04993,1.05001,1.04965,1.04989,369,0.0002
2025-05-07T02:43:03.633370+00:00,1.04964,1.05002,1.04935,1.0495,515,0.0002
2025-05-07T02:44:03.633370+00:00,1.05014,1.05062,1.04992,1.05012,363,0.0002
2025-05-07T02:45:03.633370+00:00,1.05008,1.05012,1.04985,1.05007,998,0.0002
2025-05-07T02:46:03.633370+00:00,1.04987,1.04993,1.04945,1.04989,603,0.0002
2025-05-07T02:47:03.633370+00:00,1.04968,1.05014,1.0495,1.04969,896,0.0002
2025-05-07T02:48:03.633370+00:00,1.04995,1.05018,1.04981,1.04987,906,0.0002
2025-05-07T02:49:03.633370+00:00,1.04974,1.05,1.04953,1.04951,205,0.0002
2025-05-07T02:50:03.633370+00:00,1.04938,1.0496,1.04915,1.04942,172,0.0002
2025-05-07T02:51:03.633370+00:00,1.04895,1.04905,1.04851,1.04899,246,0.0002
